number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_num_leaves,params_scale_pos_weight,user_attrs_best_iter,state
56,0.5776961062282543,2026-06-15 03:54:01.168193,2026-06-15 03:54:04.401002,0 days 00:00:03.232809,0.5958063834944505,5,0.790631653533619,0.0001509217958613246,0.03202882681711166,0.10288571835701875,110,100,5.906820738999578,183,COMPLETE
57,0.558029408340132,2026-06-15 03:54:04.401030,2026-06-15 03:54:06.386156,0 days 00:00:01.985126,0.5415818357319749,6,0.7172082583832213,0.13400235753396217,0.00023338893430279757,0.14115360606422964,7,124,10.054164570002808,91,COMPLETE
58,0.5631953180820204,2026-06-15 03:54:06.386188,2026-06-15 03:54:08.531546,0 days 00:00:02.145358,0.5014278866162736,7,0.6663929263421394,0.03702552991439324,0.0006247158428128246,0.11989496837740408,139,105,7.993954413420836,103,COMPLETE
59,0.571793707449815,2026-06-15 03:54:08.531574,2026-06-15 03:54:13.780358,0 days 00:00:05.248784,0.5603380882703309,5,0.6341531170070966,0.010144215312856508,0.008041793183033717,0.02067292837600406,130,120,2.6394802582608703,300,COMPLETE
60,0.5690741752823159,2026-06-15 03:54:13.780391,2026-06-15 03:54:16.210718,0 days 00:00:02.430327,0.5155574033593965,4,0.5506979809381739,3.7268374794949094e-05,0.004683143981359696,0.0617804485625642,116,88,4.881250811111173,133,COMPLETE
61,0.5826519182382927,2026-06-15 03:54:16.210746,2026-06-15 03:54:18.459038,0 days 00:00:02.248292,0.5383778068986265,4,0.6543100755554254,0.0005077657941036162,0.0012078999543930354,0.09039318489538559,102,126,2.3843481865688307,102,COMPLETE
62,0.5929849954775405,2026-06-15 03:54:18.459066,2026-06-15 03:54:22.430346,0 days 00:00:03.971280,0.5177174765996715,4,0.5928678431565012,0.0008001042792728955,0.01689038668801144,0.07864942766148977,84,117,1.6959288892810522,207,COMPLETE
63,0.549415122402902,2026-06-15 03:54:22.430375,2026-06-15 03:54:23.830477,0 days 00:00:01.400102,0.530585502950939,4,0.593332222726975,0.0031992027779878265,0.013841608217025033,0.06765505226172094,84,115,4.386865583443364,54,COMPLETE
64,0.5901010256138498,2026-06-15 03:54:23.830504,2026-06-15 03:54:28.082351,0 days 00:00:04.251847,0.5151786337856424,5,0.5801266579406545,0.0009419925559100313,2.2741459009389247,0.07929170586959174,72,121,1.368932036029796,213,COMPLETE
65,0.5719653940713105,2026-06-15 03:54:28.082381,2026-06-15 03:54:31.471981,0 days 00:00:03.389600,0.5844278831888999,4,0.6106294696276441,0.00031263018261521277,0.595491827951491,0.10462762834607083,93,112,6.614363981415779,179,COMPLETE
66,0.5802518017834446,2026-06-15 03:54:31.472008,2026-06-15 03:54:34.051421,0 days 00:00:02.579413,0.5010848140464749,3,0.6257748996221306,0.001974875681986371,0.05603342095261184,0.13384283529526625,156,117,3.2346027584367523,126,COMPLETE
67,0.5801728469230426,2026-06-15 03:54:34.051448,2026-06-15 03:54:38.822508,0 days 00:00:04.771060,0.5497615106749865,5,0.6826890864791471,0.016308490294410498,0.02645239971742925,0.05533100717944248,65,107,5.5366079318466515,300,COMPLETE
68,0.5862173078215179,2026-06-15 03:54:38.822537,2026-06-15 03:54:41.845466,0 days 00:00:03.022929,0.5720264145090468,4,0.6487458488053606,0.004674722155769278,0.10814309943897511,0.11884213735412878,135,122,1.0114881408429177,142,COMPLETE
69,0.5662802326686149,2026-06-15 03:54:41.845511,2026-06-15 03:54:44.150655,0 days 00:00:02.305144,0.5373839171908276,5,0.6009129140007525,9.782010252449253e-05,0.0034167302496440075,0.07990535998847009,124,125,8.649108867714215,100,COMPLETE
70,0.5573893338615196,2026-06-15 03:54:44.150683,2026-06-15 03:54:46.161003,0 days 00:00:02.010320,0.5167827268472724,6,0.5658978008436368,0.0007354129911449506,0.00048505535143010233,0.1911983223384387,149,118,12.69759446336813,90,COMPLETE
71,0.5884206127024145,2026-06-15 03:54:46.161031,2026-06-15 03:54:50.862629,0 days 00:00:04.701598,0.5147759859395962,5,0.5823095434355635,0.0011413164312643628,0.0010019120962059989,0.0785753402388236,73,121,2.19109774282546,212,COMPLETE
72,0.5841198908436342,2026-06-15 03:54:50.862660,2026-06-15 03:54:56.796819,0 days 00:00:05.934159,0.5138822944954465,5,0.5336997629322003,0.00026502959913961435,0.005943282952213825,0.07019038702566908,84,128,4.463061665700398,300,COMPLETE
73,0.5858338050460536,2026-06-15 03:54:56.796849,2026-06-15 03:55:00.897942,0 days 00:00:04.101093,0.536938400789123,4,0.5755820609771569,0.00014283178101357903,5.654026692417397,0.09062009060937823,56,122,2.85696612300352,193,COMPLETE
74,0.5791430279756014,2026-06-15 03:55:00.897971,2026-06-15 03:55:03.239409,0 days 00:00:02.341438,0.5542133507284656,5,0.5130806041003947,0.002136055740883575,1.4318180266041376,0.11187939718353054,105,113,1.3303416878750187,105,COMPLETE
75,0.5730267037221926,2026-06-15 03:55:03.239438,2026-06-15 03:55:05.611615,0 days 00:00:02.372177,0.5130771502002324,4,0.6674530937331932,0.0009711710965886401,0.0020640566602697225,0.09990762388727417,78,126,6.538210802997341,107,COMPLETE
76,0.5788234599352928,2026-06-15 03:55:05.611644,2026-06-15 03:55:09.008327,0 days 00:00:03.396683,0.5312105089132515,5,0.625875512420304,9.332726800537307e-08,0.6254630453906681,0.08400570062061394,118,117,4.418488492757204,147,COMPLETE
77,0.5700494774867673,2026-06-15 03:55:09.008359,2026-06-15 03:55:12.827434,0 days 00:00:03.819075,0.5018477699089915,6,0.9662710939056678,0.004600390635853595,5.837497763241052e-05,0.06311657668438336,41,62,7.873171178755156,295,COMPLETE
